Ulkeler,Yillar,Yuzdeler
Austria,2019,27.78
Austria,2018,27.93
Austria,2017,28.23
Austria,2016,28.34
Austria,2015,28.52
Brazil,2019,20.1
Brazil,2018,20.48
Brazil,2017,20.93
Brazil,2015,21.73
Canada,2019,28.08
Canada,2018,28.33
Canada,2017,28.49
Canada,2016,28.87
Canada,2015,29.32
China,2018,34.45
China,2019,34.51
China,2015,34.52
China,2016,34.54
England,2019,28.25
England,2018,28.26
England,2017,28.28
England,2016,28.38
England,2015,28.54
France,2019,27.23
France,2018,27.37
France,2017,27.67
France,2016,27.76
France,2015,28.09
Germany,2019,27.48
Germany,2018,27.62
Germany,2017,27.75
Germany,2016,27.97
Germany,2015,28.21
Greece,2019,36.82
Greece,2016,37.19
Greece,2017,37.21
Greece,2015,37.34
Italy,2019,26.09
Italy,2018,26.2
Italy,2017,26.34
Italy,2016,26.43
Italy,2015,26.68
Japan,2019,25.3
Japan,2018,25.58
Japan,2017,25.91
Japan,2016,26.34
Japan,2015,26.74
Netherlands,2019,30.16
Netherlands,2018,30.53
Netherlands,2017,30.88
Netherlands,2016,31.26
Netherlands,2015,31.66
North Korea,2016,26.89
North Korea,2019,26.9
North Korea,2017,26.92
North Korea,2018,26.92
Russia,2018,26.69
Russia,2019,26.7
Russia,2017,26.88
Russia,2015,27.17
Russia,2016,27.28
Saudi Arabia,2016,15.1
Saudi Arabia,2015,15.11
Saudi Arabia,2017,15.13
Saudi Arabia,2018,15.14
Saudi Arabia,2019,15.17
Scotland,2019,32.8
Scotland,2017,33.03
Scotland,2016,33.45
Scotland,2015,33.89
South Korea,2019,27.36
South Korea,2018,27.46
South Korea,2017,27.75
South Korea,2016,27.91
South Korea,2015,28.2
Spain,2019,30.38
Spain,2018,30.78
Spain,2017,31.33
Spain,2016,31.44
Spain,2015,31.57
Turkey,2019,33.24
Turkey,2018,33.56
Turkey,2017,33.97
Turkey,2015,34.75
Ukraine,2019,26.69
Ukraine,2017,26.85
Ukraine,2018,26.91
Ukraine,2015,27.4
United Arab Emirates,2019,20.68
United Arab Emirates,2018,20.91
United Arab Emirates,2017,21.14
United Arab Emirates,2016,21.33
United Arab Emirates,2015,21.53
United Kingdom,2019,28.78
United Kingdom,2018,28.82
United Kingdom,2017,28.83
United Kingdom,2016,28.99
United Kingdom,2015,29.18
United States,2019,30.46
United States,2017,30.57
United States,2018,30.59
United States,2016,30.77
